,cell.ID,nucleus.x,nucleus.y,CD4.score.normalized,CK.score.normalized,CD3.score.normalized,CD56.score.normalized,CD8.score.normalized,FOXP3.score.normalized,tissue.type
0,253,13834.34,36466.24,0.0,0.11,0.1,0.2,1.29,0.2,stroma
1,254,13813.18,36478.5,0.33,0.48,0.53,0.03,0.0,0.19,stroma
2,255,13855.93,36275.65,0.53,0.2,0.92,0.16,0.0,0.7,stroma
3,256,13716.67,36467.4,0.0,0.88,0.0,0.23,0.36,0.2,stroma
4,257,13812.55,36345.6,0.54,0.26,0.41,0.13,0.0,0.2,stroma
5,258,13816.77,36325.91,0.58,0.86,0.18,0.15,0.0,0.17,stroma
6,259,13702.56,36453.55,0.02,0.64,0.57,0.18,0.0,0.15,stroma
7,260,13808.58,36411.44,2.0,1.09,0.2,0.3,0.0,0.17,stroma
8,263,13703.28,36476.1,0.72,0.72,0.23,0.2,0.0,0.25,stroma
9,264,13825.65,36317.06,0.47,0.95,0.57,0.17,0.28,0.23,stroma
10,265,13766.1,36311.07,0.15,0.1,0.0,0.18,0.98,0.0,stroma
11,266,13850.5,36170.97,0.56,0.7,0.35,0.02,0.03,0.14,stroma
12,267,13825.67,36476.32,0.39,0.63,0.0,0.24,0.0,0.15,stroma
13,268,13831.22,36457.83,0.0,0.2,0.11,0.25,0.0,0.0,stroma
14,269,13688.86,36456.73,0.0,0.06,0.0,0.0,0.0,0.22,stroma
15,270,13788.99,36320.33,0.0,0.15,0.21,0.16,0.34,0.02,stroma
16,271,13704.19,36466.99,0.6,0.78,1.88,0.41,0.33,0.12,stroma
17,272,13802.5,36343.97,0.0,1.3,0.35,0.3,0.1,0.18,stroma
18,273,13804.24,36337.32,0.28,0.36,0.67,0.17,0.0,0.06,stroma
19,274,13823.23,36493.57,0.0,0.25,0.0,0.04,0.0,0.0,stroma
20,275,13790.67,36401.72,0.51,0.52,0.86,0.22,0.0,0.13,stroma
21,276,13847.69,36310.83,0.0,0.81,0.18,0.14,0.25,0.16,stroma
22,277,13722.61,36491.93,0.0,0.49,0.21,0.17,0.0,0.13,stroma
23,278,13697.2,36457.76,1.2,0.82,1.01,0.29,0.0,0.2,stroma
24,279,13812.85,36379.62,1.01,0.0,0.13,0.02,0.0,0.03,stroma
