,cell.ID,nucleus.x,nucleus.y,PD1.score.normalized,CK.score.normalized,Ki67.score.normalized,GB.score.normalized,CD8.score.normalized,PDL1.score.normalized,tissue.type
0,6,10200.96,43496.79,0.0,2.61,9.51,0.35,0.61,0.36,tumor
1,7,10255.75,43453.97,0.73,2.95,0.01,0.05,0.0,0.04,tumor
2,8,10222.64,43459.04,0.27,3.61,0.1,0.35,0.04,0.14,tumor
3,9,10178.41,43275.72,0.51,3.6,3.17,0.41,0.24,0.25,tumor
4,10,10208.1,43452.07,0.16,3.63,3.18,0.4,0.0,0.18,tumor
5,12,10002.03,43377.41,0.0,3.39,0.07,0.22,0.0,0.07,tumor
6,13,10245.39,43507.91,0.0,4.88,2.04,0.51,0.16,0.2,tumor
7,15,10159.65,43272.36,0.0,3.45,3.0,0.29,0.0,0.12,tumor
8,16,10200.93,43509.11,0.07,2.86,0.05,0.05,0.0,0.15,tumor
9,18,10073.79,43404.33,0.0,5.39,3.18,0.29,0.0,0.29,tumor
10,19,10227.86,43522.32,0.0,3.29,0.11,0.22,0.0,0.12,tumor
11,20,10054.89,43392.57,0.19,1.85,6.07,0.29,0.37,0.24,tumor
12,21,10194.27,43538.07,0.11,3.33,0.03,0.28,0.39,0.1,tumor
13,22,10088.18,43271.15,0.13,3.21,0.01,0.39,0.02,0.16,tumor
14,23,10230.83,43497.55,0.32,3.53,0.0,0.42,0.27,0.11,tumor
15,24,10244.67,43472.91,0.31,2.81,4.62,0.27,0.0,0.18,tumor
16,25,10238.94,43631.95,0.0,0.29,0.0,0.02,0.0,0.03,stroma
17,26,9994.37,43396.97,0.28,4.86,0.0,0.43,0.19,0.18,tumor
18,27,10003.95,43387.17,0.0,3.24,1.65,0.28,0.19,0.11,tumor
19,28,10094.83,43421.5,0.1,1.84,6.0,0.4,0.04,0.26,tumor
20,29,10061.77,43246.5,0.36,3.19,3.81,0.33,0.15,0.22,tumor
21,30,10116.76,43273.16,0.2,1.92,1.2,0.17,0.0,0.03,tumor
22,31,9956.52,43400.48,0.0,2.86,0.32,0.13,0.05,0.15,tumor
23,32,10180.83,43512.67,0.0,3.49,0.0,0.31,0.22,0.18,tumor
24,33,10212.76,43530.69,0.55,3.02,0.0,0.26,0.0,0.16,tumor
25,34,10266.12,43651.38,0.0,0.19,0.09,0.27,0.09,0.01,stroma
26,35,9983.74,43385.01,0.18,2.22,2.99,0.13,0.0,0.1,tumor
27,36,10194.89,43263.73,0.42,1.58,0.69,0.29,0.27,0.11,tumor
28,38,10021.75,43443.15,0.0,1.58,0.0,0.32,0.02,0.16,tumor
29,39,10158.57,43265.16,0.0,2.7,0.52,0.3,0.14,0.05,tumor
30,40,10168.96,43517.02,0.0,3.62,0.0,0.22,0.0,0.07,tumor
31,41,9974.07,43394.28,0.05,2.65,1.27,0.05,0.21,0.15,tumor
32,42,10197.78,43526.91,0.06,2.77,0.25,0.26,0.0,0.13,tumor
33,43,10164.14,43280.43,0.0,2.05,0.0,0.34,0.0,0.05,tumor
34,44,9986.14,43399.46,0.31,3.4,6.48,0.47,0.0,0.34,tumor
35,45,10088.68,43252.38,0.12,3.0,0.96,0.27,0.0,0.07,tumor
36,46,10199.4,43556.06,0.19,3.86,0.0,0.26,0.0,0.08,tumor
37,47,10187.75,43282.22,0.0,2.82,0.6,0.22,0.27,0.12,tumor
